stt,kanji,hanviet,on_reading,kun_reading,stroke_count,radicals,core_meaning,story_image,logic_development,memory_tip,adjectives,vocabulary
63,貝,BỐI,なし,かい,7,貝-bối,Vỏ sò,Hình dáng vỏ sò thời cổ.,貝-boi -> (貝) con sò,Vỏ sò ngày xưa dùng làm tiền.,なし:không có,貝殻(かいがら):vỏ sò|ホタテ貝(ほたてがい):sò điệp|貝類(かいるい):loài sò|ムール貝(むーるがい):vẹm|赤貝(あかがい):sò huyết
64,石,THẠCH,セキ,いし,5,石-thạch,Đá,Hình tảng đá dưới vách núi.,石-thach -> (石) hòn đá,Tảng đá nằm bên dưới sườn núi.,なし:không có,石けん(せっけん):xà phòng|石油(せきゆ):dầu mỏ|宝石(ほうせき):đá quý|磁石(じしゃく):nam châm|化石(かせき):hóa thạch
65,糸,MỊCH,シ,いと,6,糸-mịch,Sợi chỉ,Hình cuộn chỉ có sợi rủ xuống.,糸-mich -> (糸) sợi chỉ,Những sợi tơ được se lại.,なし:không có,糸くず(いとくず):xơ chỉ|毛糸(けいと):len|絹糸(けんいと):chỉ tơ tằm|釣り糸(つりいと):dây câu|抜糸(ばっし):cắt chỉ
66,花,HOA,カ,はな,7,艹-thảo|化-hóa,Hoa,Cỏ (艹) biến hóa (化) thành hoa.,艹-thao + 化-hoa -> (花) bông hoa,Vẻ đẹp rực rỡ từ cây cỏ.,なし:không có,花瓶(かびん):bình hoa|花火(はなび):pháo hoa|生け花(いけばな):cắm hoa|花屋(はなや):tiệm hoa|桜花(おうか):hoa anh đào
67,茶,TRÀ,チャ|サ,なし,9,艹-thảo,Trà,Cây cỏ (艹) hái trên núi dùng pha nước.,艹-thao -> (茶) lá trà,Thức uống từ lá cây khô.,なし:không có,茶色(ちゃいろ):màu nâu|紅茶(こうちゃ):trà đen|日本茶(にほんちゃ):trà nhật|茶道(さどう):trà đạo|喫茶店(きっさてん):quán giải khát
68,肉,NHỤC,ニク,なし,6,肉-nhục,Thịt,Hình miếng thịt có gân.,肉-nhuc -> (肉) miếng thịt,Thức ăn từ động vật.,なし:không có,牛肉(ぎゅうにく):thịt bò|豚肉(ぶたにく):thịt heo|鶏肉(とりにく):thịt gà|筋肉(きんにく):cơ bắp|肉屋(にくや):tiệm thịt
69,文,VĂN,ブン|モン,ふみ,4,文-văn,Văn chương,Hình vết xăm trên ngực người.,文-van -> (文) chữ viết,Ngôn ngữ được ghi chép lại.,なし:không có,文学(ぶんがく):văn học|文章(ぶんしょう):văn bản|文化(ぶんか):văn hóa|文法(ぶんぽう):ngữ pháp|注文(ちゅうもん):đặt hàng
70,字,TỰ,ジ,あざ,6,宀-miên|子-tử,Chữ,Đứa trẻ (子) học chữ dưới mái nhà (宀).,宀-mien + 子-tu -> (字) mặt chữ,Ký tự được dạy cho trẻ nhỏ.,なし:không có,漢字(かんじ):chữ hán|文字(もじ):chữ cái|数字(すうじ):con số|名字(みょうじ):họ|赤字(あかじ):lỗ vốn
71,物,VẬT,ブツ|モツ,もの,8,牛-ngưu|勿-vật,Vật thể,Con bò (牛) và sự phân chia vật chất.,牛-nguu + 勿-vat -> (物) đồ vật,Mọi thứ tồn tại trên đời.,なし:không có,食べ物(たべもの):đồ ăn|飲み物(のみもの):đồ uống|買い物(かいもの):mua sắm|動物(どうぶつ):động vật|荷物(にもつ):hành lý
72,牛,NGƯU,ギュウ,うし,4,牛-ngưu,Con bò,Hình đầu con bò có hai sừng.,牛-nguu -> (牛) con bò,Động vật kéo cày lấy thịt.,なし:không có,牛乳(ぎゅうにゅう):sữa bò|牛肉(ぎゅうにく):thịt bò|子牛(こうし):bê con|和牛(わぎゅう):bò nhật|牛丼(ぎゅうどん):cơm thịt bò
73,馬,MÃ,バ,うま,10,馬-mã,Con ngựa,Hình con ngựa có bờm và bốn chân.,馬-ma -> (馬) con ngựa,Loài vật chạy nhanh có bốn chân.,なし:không có,馬車(ばしゃ):xe ngựa|乗馬(じょうば):cưỡi ngựa|子馬(こうま):ngựa con|競馬(けいば):đua ngựa|竹馬(たけうま):cà kheo
74,鳥,ĐIỂU,チョウ,とり,11,鳥-điểu,Con chim,Hình con chim có mỏ và đuôi dài.,鳥-dieu -> (鳥) loài chim,Động vật có cánh bay trên trời.,なし:không có,小鳥(ことり):chim nhỏ|鳥肉(とりにく):thịt chim|白鳥(はくちょう):thiên nga|焼き鳥(やきとり):thịt gà nướng|野鳥(やちょう):chim hoang dã
75,魚,NGƯ,ギョ,さかな,11,魚-ngư,Con cá,Hình con cá có đầu và vảy.,魚-ngu -> (魚) cá lội,Động vật sống dưới nước.,なし:không có,金魚(きんぎょ):cá vàng|人魚(にんぎょ):người cá|鮮魚(せんぎょ):cá tươi|魚屋(さかなや):tiệm cá|焼き魚(やきざかな):cá nướng
76,新,TÂN,シン,あたら-しい,13,立-lập|木-mộc|斤-cân,Mới,Dùng rìu (斤) chặt cây (木) để xây mới.,立-lap + 木-moc + 斤-can -> (新) mới mẻ,Sự thay đổi tạo ra cái mới.,新しい(あたらしい):mới,新聞(しんぶん):báo chí|新年(しんねん):năm mới|新幹線(しんかんせん):tàu cao tốc|新人(しんじん):người mới|新曲(しんきょく):bài hát mới
77,古,CỔ,コ,ふる-い,5,十-thập|口-khẩu,Cũ,Lời nói (口) truyền qua mười (十) đời.,十-thap + 口-khau -> (古) xưa cũ,Những thứ thuộc về quá khứ.,古い(ふるい):cũ,古本(ふるほん):sách cũ|古着(ふるぎ):quần áo cũ|古代(こだい):cổ đại|古株(ふるかぶ):người kỳ cựu|古風(こふう):phong cách cổ
78,長,TRƯỜNG,チョウ,なが-い,8,長-trường,Dài|trưởng,Hình người tóc dài hoặc vị trưởng lão.,長-truong -> (長) dài lâu,Khoảng cách hoặc vị trí đứng đầu.,長い(ながい):dài,社長(しゃちょう):giám đốc|校長(こうちょう):hiệu trưởng|身長(しんちょう):chiều cao|長所(ちょうしょ):sở trường|長年(ながねん):nhiều năm
79,短,ĐOẢN,タン,みじか-い,12,矢-thỉ|豆-đậu,Ngắn,Mũi tên (矢) dài bằng hạt đậu (豆).,矢-thi + 豆-dau -> (短) ngắn ngủi,Khoảng cách không dài.,短い(みじかい):ngắn,短編(たんぺん):truyện ngắn|短所(たんしょ):nhược điểm|短大(たんだい):trường cao đẳng|短期間(たんきかん):thời gian ngắn|短気(たんき):nóng tính
80,高,CAO,コウ,たか-い,10,高-cao,Cao|đắt,Hình tháp cao có mái che.,高-cao -> (高) cao quý,Chiều cao hoặc giá cả đắt.,高い(たかい):cao|đắt,高校(こうこう):trường cấp ba|最高(さいこう):tuyệt nhất|高度(こうど):độ cao|高級(こうきゅう):cao cấp|高値(たかね):giá cao
81,安,AN,アン,やす-い,6,宀-miên|女-nữ,Rẻ|an tâm,Người phụ nữ (女) dưới mái nhà (宀) thì an tâm.,宀-mien + 女-nu -> (安) yên ổn,Cảm giác an toàn hoặc giá rẻ.,安い(やすい):rẻ,安全(あんぜん):an toàn|安心(あんしん):an tâm|不安(ふあん):bất an|安売り(やすうり):bán rẻ|安定(あんてい):ổn định
82,低,ĐÊ,テイ,ひく-い,7,亻-nhân|氐-đê,Thấp,Người (亻) cúi xuống thấp.,亻-nhan + 氐-de -> (低) thấp kém,Vị trí không cao.,低い(ひくい):thấp,低下(ていか):sụt giảm|最低(さいてい):thấp nhất|低音(ていおん):âm trầm|低地(ていち):vùng đất thấp|低血圧(ていけつあつ):huyết áp thấp
83,暗,ÁM,アン,くら-い,13,日-nhật|音-âm,Tối,Mặt trời (日) bị âm thanh (音) che khuất.,日-nhat + 音-am -> (暗) tăm tối,Thiếu ánh sáng.,暗い(くらい):tối,暗記(あんき):học thuộc lòng|暗室(あんしつ):phòng tối|暗号(あんごう):mật mã|暗雲(あんうん):mây mù|暗闇(くらやみ):bóng tối
84,多,ĐA,タ,おお-い,6,夕-tịch|夕-tịch,Nhiều,Nhiều đêm (夕) chồng lên nhau.,夕-tich + 夕-tich -> (多) rất nhiều,Số lượng lớn.,多い(おおい):nhiều,多分(たぶん):có lẽ|多数(たすう):đa số|多少(たしょう):ít nhiều|多忙(たぼう):bận rộn|多額(たがく):số tiền lớn
85,少,THIỂU,ショウ,すこ-し|すく-ない,4,小-tiểu,Ít,Chữ tiểu (小) có thêm một nét gạch.,小-tieu -> (少) số ít,Số lượng không nhiều.,少ない(すくない):ít,少し(すこし):một chút|少々(しょうしょう):một ít|少年(しょうねん):thiếu niên|少女(しょうじょ):thiếu nữ|少人数(しょうにんずう):ít người
86,行,HÀNH,コウ|ギョウ,い-く,6,行-hành,Đi,Hình ngã tư đường.,行-hanh -> (行) thực hành,Di chuyển từ nơi này đến nơi khác.,なし:không có,行く(いく):đi|銀行(ぎんこう):ngân hàng|旅行(りょこう):du lịch|行事(ぎょうじ):sự kiện|一行目(いちぎょうめ):dòng thứ nhất
87,来,LAI,ライ,く-る,7,木-mộc,Đến,Lúa (木) từ xa đến.,木-moc -> (来) tương lai,Di chuyển về phía người nói.,なし:không có,来る(くる):đến|来年(らいねん):năm sau|来月(らいげつ):tháng sau|来週(らいしゅう):tuần sau|本来(ほんらい):vốn dĩ
88,帰,QUY,キ,かえ-る,10,リ-đao|止-chỉ,Về,Dùng dao (リ) cắt việc để về (止).,リ-dao + 止-chi -> (帰) trở về,Quay lại điểm xuất phát.,なし:không có,帰る(かえる):trở về|帰宅(きたく):về nhà|帰国(きこく):về nước|帰り道(かえりみち):đường về|日帰り(ひがえり):đi về trong ngày
89,食,THỰC,ショク,た-べる,9,食-thực,Ăn,Đồ ăn được đậy dưới mái che.,食-thuc -> (食) thực phẩm,Hành động nạp năng lượng.,なし:không có,食べる(たべる):ăn|食事(しょくじ):bữa ăn|朝食(ちょうしょく):bữa sáng|和食(わしょく):món nhật|定食(ていしょく):suất ăn
90,飲,ẨM,イン,の-む,12,食-thực|欠-khiếm,Uống,Người thiếu (欠) đồ ăn (食) nên phải uống.,食-thuc + 欠-khiem -> (飲) uống nước,Đưa chất lỏng vào cơ thể.,なし:không có,飲む(のむ):uống|飲み物(のみもの):đồ uống|飲食店(いんしょくてん):tiệm ăn uống|飲酒(いんしゅ):uống rượu|飲み会(のみかい):tiệc rượu
91,見,KIẾN,ケン,み-る,7,目-mục|儿-nhi,Nhìn,Con mắt (目) trên đôi chân (儿).,目-muc + 儿-nhi -> (見) quan sát,Dùng mắt để nhìn mọi vật.,なし:không có,見る(みる):nhìn|見学(けんがく):kiến tập|意見(いけん):ý kiến|見本(みほん):hàng mẫu|お見舞い(おみまい):thăm bệnh
92,聞,VĂN,ブン|モン,き-く,14,門-môn|耳-nhĩ,Nghe,Đặt tai (耳) vào cửa (門) để nghe.,門-mon + 耳-nhi -> (聞) lắng nghe,Dùng tai tiếp nhận âm thanh.,なし:không có,聞く(きく):nghe|新聞(しんぶん):báo chí|聞き取り(ききとり):nghe hiểu|前代未聞(ぜんだいみもん):chưa từng nghe|聞き手(ききて):người nghe
93,読,ĐỘC,ドク,よ-む,14,言-ngôn|売-mại,Đọc,Dùng lời nói (言) để đọc sách bán (売).,言-ngon + 売-mai -> (読) đọc sách,Phát âm những gì đã viết.,なし:không có,読む(よむ):đọc|読書(どくしょ):đọc sách|読解(どっかい):đọc hiểu|句読点(くとうてん):dấu phẩy|読み物(よみもの):tài liệu đọc
94,書,THƯ,ショ,か-く,10,聿-duật|日-nhật,Viết,Tay cầm bút (聿) viết cả ngày (日).,聿-duat + 日-nhat -> (書) viết lách,Ghi chép lại thông tin.,なし:không có,書く(かく):viết|図書館(としょかん):thư viện|辞書(じしょ):từ điển|書き直す(かきなおす):viết lại|教科書(きょうかしょ):sách giáo khoa
95,話,THOẠI,ワ,はな-す,13,言-ngôn|舌-thiệt,Nói,Dùng lưỡi (舌) phát ra lời (言).,言-ngon + 舌-thiet -> (話) trò chuyện,Trao đổi bằng ngôn ngữ.,なし:không có,話す(はなす):nói|電話(でんわ):điện thoại|世話(せわ):chăm sóc|英会話(えいかいわ):hội thoại tiếng anh|昔話(むかしばなし):chuyện xưa
96,買,MÃI,バイ,か-う,12,罒-võng|貝-bối,Mua,Dùng lưới (罒) thu gom sò (貝).,罒-vong + 貝-boi -> (買) mua sắm,Dùng tiền để đổi lấy vật.,なし:không có,買う(かう):mua|買い物(かいもの):mua sắm|売買(ばいばい):mua bán|買収(ばいしゅう):thu mua|買い手(かいて):người mua
97,教,GIÁO,キョウ,おし-える,11,耂-lão|子-tử|攵-phộc,Dạy,Người già (耂) dạy trẻ nhỏ (子) bằng roi (攵).,耂-lao + 子-tu + 攵-phoc -> (教) giáo dục,Truyền đạt kiến thức.,なし:không có,教える(おしえる):dạy|教室(きょうしつ):lớp học|教育(きょういく):giáo dục|教会(きょうかい):nhà thờ|教官(きょうかん):giảng viên
98,朝,TRIỀU,チョウ,あさ,12,十-thập|日-nhật|月-nguyệt,Sáng sớm,Mặt trời (日) mọc giữa cỏ và mặt trăng (月) còn đó.,十-thap + 日-nhat + 月-nguyet -> (朝) buổi sáng,Thời điểm bắt đầu ngày mới.,なし:không có,朝ご飯(あさごはん):cơm sáng|毎朝(まいあさ):mỗi sáng|今朝(けさ):sáng nay|朝日(あさひ):nắng sớm|朝食(ちょうしょく):bữa sáng
99,昼,TRÚ,チュウ,ひる,9,尺-xích|旦-đán,Trưa,Mặt trời (旦) lên cao bằng một thước (尺).,尺-xich + 旦-dan -> (昼) ban ngày,Thời gian giữa ngày.,なし:không có,昼休み(ひるやすみ):nghỉ trưa|昼ご飯(ひるごはん):cơm trưa|昼寝(ひるね):ngủ trưa|昼食(ちゅうしょく):bữa trưa|昼間(ひるま):ban ngày
100,夜,DẠ,ヤ,よる|よ,8,亠-đầu|亻-nhân|夕-tịch,Đêm,Người (亻) dưới mái nhà (亠) khi tối (夕).,亠-dau + 亻-nhan + 夕-tich -> (夜) buổi đêm,Thời gian khi trời tối hẳn.,なし:không có,夜中(よなか):nửa đêm|今夜(こんや):đêm nay|夜食(やしょく):ăn đêm|昨夜(さくや):đêm qua|夜明け(よあけ):bình minh
101,晩,VÃN,バン,なし,12,日-nhật|免-miễn,Tối muộn,Mặt trời (日) đã miễn (免) nhiệm vụ.,日-nhat + 免-mien -> (晩) buổi tối,Thời gian sau khi mặt trời lặn.,なし:không có,晩ご飯(ばんごはん):cơm tối|今晩(こんばん):tối nay|毎晩(まいばん):mỗi tối|晩年(ばんねん):tuổi già|晩春(ばんしゅん):cuối xuân
102,夕,TỊCH,セキ,ゆう,3,夕-tịch,Chiều tà,Hình mặt trăng khuyết khi chiều về.,夕-tich -> (夕) hoàng hôn,Lúc mặt trời sắp lặn.,なし:không có,夕方(ゆうがた):chiều tối|夕食(ゆうしょく):bữa tối|夕日(ゆうひ):nắng chiều|七夕(たなばた):lễ thất tịch|夕立(ゆうだち):mưa rào chiều
103,方,PHƯƠNG,ホウ,かた,4,方-phương,Hướng|cách,Hình chiếc cày chỉ về một hướng.,方-phuong -> (方) phương hướng,Chỉ phía hoặc cách thức làm.,なし:không có,方法(ほうほう):phương pháp|書き方(かきかた):cách viết|夕方(ゆうがた):chiều tối|両方(りょうほう):cả hai|方角(ほうがく):phương hướng
104,午,NGỌ,ゴ,なし,4,午-ngọ,Trưa,Hình cái chày giã gạo.,午-ngo -> (午) chính ngọ,Thời điểm 12 giờ trưa.,なし:không có,午前(ごぜん):sáng|午後(ごご):chiều|正午(しょうご):đúng trưa|午前中(ごぜんちゅう):suốt buổi sáng|午睡(ごすい):ngủ trưa
105,前,TIỀN,ゼン,まえ,9,止-chỉ|月-nguyệt|刀-đao,Trước,Cắt thịt (刀) trước mặt trăng (月).,止-chi + 月-nguyet + 刀-dao -> (前) phía trước,Vị trí hoặc thời gian trước.,なし:không có,名前(なまえ):tên|以前(いぜん):trước đây|三日前(みっかまえ):ba ngày trước|前半(ぜんはん):hiệp một|駅前(えきまえ):trước ga
106,後,HẬU,ゴ|コウ,あと|うし-ろ,9,彳-xích|糸-mịch|夂-truy,Sau,Người đi chậm (夂) theo sau sợi chỉ (糸).,彳-xich + 糸-mich + 夂-truy -> (後) phía sau,Vị trí hoặc thời gian sau.,なし:không có,後ろ(うしろ):phía sau|最後(さいご):cuối cùng|午後(ごご):chiều|後で(あとで):lát nữa|後半(こうはん):hiệp hai
107,毎,MỖI,マイ,なし,6,𠂉-nhân|母-mẫu,Mỗi,Mỗi ngày người mẹ (母) đều làm việc.,𠂉-nhan + 母-mau -> (毎) hằng ngày,Sự lặp lại thường xuyên.,なし:không có,毎日(まいにち):mỗi ngày|毎週(まいしゅう):mỗi tuần|毎月(まいつき):mỗi tháng|毎年(まいねん):mỗi năm|毎晩(まいばん):mỗi tối
108,週,CHU,シュウ,なし,11,周-chu|辶-sước,Tuần,Đi (辶) quanh một vòng (周).,周-chu + 辶-suoc -> (週) một tuần,Chu kỳ bảy ngày.,なし:không có,一週間(いっしゅうかん):một tuần|先週(せんしゅう):tuần trước|来週(らいしゅう):tuần sau|今週(こんしゅう):tuần này|週末(しゅうまつ):cuối tuần
109,曜,DIỆU,ヨウ,なし,18,日-nhật|隹-truy,Thứ (ngày),Mặt trời (日) chiếu sáng đôi chim (隹).,日-nhat + 隹-truy -> (曜) ngày thứ,Chỉ các ngày trong tuần.,なし:không có,日曜日(にちようび):chủ nhật|月曜日(げつようび):thứ hai|何曜日(なんようび):thứ mấy|曜日(ようび):thứ trong tuần|七曜(しちよう):bảy thứ
110,作,TÁC,サク|サ,つく-る,7,亻-nhân|乍-sạ,Làm|tạo,Người (亻) đang đột ngột (乍) làm việc.,亻-nhan + 乍-sa -> (作) chế tác,Tạo ra một vật gì đó.,なし:không có,作る(つくる):làm|作文(さくぶん):tập làm văn|作家(さっか):nhà văn|作品(さくひん):tác phẩm|手作り(てづくり):làm bằng tay
111,泳,VỊNH,エイ,およ-ぐ,8,氵-thủy|永-vĩnh,Bơi,Nước (氵) chảy mãi mãi (永).,氵-thuy + 永-vinh -> (泳) bơi lội,Di chuyển trong nước.,なし:không có,泳ぐ(およぐ):bơi|水泳(すいえい):bơi lội|平泳ぎ(ひらおよぎ):bơi ếch|背泳ぎ(せおよぎ):bơi ngửa|競泳(きょうえい):thi bơi
112,油,DU,ユ,あぶら,8,氵-thủy|由-do,Dầu,Nước (氵) chảy từ nguyên do (由).,氵-thuy + 由-do -> (油) dầu ăn,Chất lỏng trơn từ thực vật.,なし:không có,石油(せきゆ):dầu mỏ|油絵(あぶらえ):tranh sơn dầu|醤油(しょうゆ):nước tương|サラダ油(さらだゆ):dầu thực vật|油断(ゆだん):lơ là
113,海,HẢI,カイ,うみ,9,氵-thủy|毎-mỗi,Biển,Nước (氵) có mặt ở mỗi (毎) nơi.,氵-thuy + 毎-moi -> (海) biển cả,Vùng nước mặn rộng lớn.,なし:không có,海外(かいがい):ngoại quốc|北海道(ほっかいどう):hokkaido|海水(かいすい):nước biển|海辺(うみべ):bờ biển|地中海(ちちゅうかい):địa trung hải
114,酒,TỬU,シュ,さけ|さか,10,氵-thủy|酉-dậu,Rượu,Nước (氵) đựng trong bình (酉).,氵-thuy + 酉-dau -> (酒) rượu chè,Đồ uống có cồn.,なし:không có,日本酒(にほんしゅ):rượu nhật|お酒(おさけ):rượu|酒屋(さかや):tiệm rượu|居酒屋(いざかや):quán nhậu|洋酒(ようしゅ):rượu tây
115,待,ĐÃI,タイ,ま-つ,9,彳-xích|寺-tự,Đợi,Người đi bộ (彳) dừng ở chùa (寺).,彳-xich + 寺-tu -> (待) chờ đợi,Nán lại một chỗ để chờ.,なし:không có,待つ(まつ):đợi|期待(きたい):kì vọng|招待(しょうたい):chiêu đãi|待合室(まちあいしつ):phòng chờ|待ち合わせ(まちあわせ):hẹn gặp
116,校,HIỆU,コウ,なし,10,木-mộc|交-giao,Trường,Cái cây (木) nơi mọi người giao (交) nhau.,木-moc + 交-giao -> (校) trường học,Nơi tập trung để học tập.,なし:không có,学校(がっこう):trường học|校長(こうちょう):hiệu trưởng|高校(こうこう):trường cấp ba|校門(こうもん):cổng trường|母校(ぼこう):trường cũ
117,時,THỜI,ジ,とき,10,日-nhật|寺-tự,Thời gian,Mặt trời (日) đi qua ngôi chùa (寺).,日-nhat + 寺-tu -> (時) giờ giấc,Đơn vị đo lường thời gian.,なし:không có,時間(じかん):thời gian|時計(とけい):đồng hồ|時々(ときどき):thỉnh thoảng|一時代(いちじだい):một thời đại|同時(どうじ):đồng thời
118,言,NGÔN,ゲン|ゴン,い-う|こと,7,言-ngôn,Lời nói,Những vạch lời nói phát ra từ miệng.,言-ngon -> (言) ngôn từ,Dùng miệng để phát biểu.,なし:không có,言う(いう):nói|言葉(ことば):từ ngữ|言語(げんご):ngôn ngữ|予言(よげん):tiên tri|伝言(でんごん):lời nhắn
119,計,KẾ,ケイ,はか-る,9,言-ngôn|十-thập,Kế hoạch,Nói (言) mười (十) lời để tính toán.,言-ngon + 十-thap -> (計) tính toán,Lập dự định hoặc đo lường.,なし:không có,時計(とけい):đồng hồ|計画(けいかく):kế hoạch|合計(ごうけい):tổng cộng|会計(かいけい):thanh toán|計算(けいさん):tính toán
120,語,NGỮ,ゴ,かた-る,14,言-ngôn|五-ngũ|口-khẩu,Ngôn ngữ,Dùng miệng (口) nói năm (五) ngôn (言).,言-ngon + 五-ngu + 口-khau -> (語) từ ngữ,Tiếng nói của một dân tộc.,なし:không có,日本語(にほんご):tiếng nhật|単語(たんご):từ vựng|物語(ものがたり):câu chuyện|英語(えいご):tiếng anh|敬語(けいご):kính ngữ
121,飯,PHẠN,ハン,めし,12,食-thực|反-phản,Cơm,Đồ ăn (食) làm từ vật phản (反).,食-thuc + 反-phan -> (飯) bữa cơm,Thức ăn nấu chín từ gạo.,なし:không có,ご飯(ごはん):cơm|晩ご飯(ばんごはん):cơm tối|夕飯(ゆうはん):bữa tối|炊飯器(すいはんき):nồi cơm điện|赤飯(せきはん):xôi đậu đỏ
122,宅,TRẠCH,タク,なし,6,宀-miên|乇-thác,Nhà,Cái cây (乇) dưới mái nhà (宀).,宀-mien + 乇-thac -> (宅) nhà cửa,Nơi cư trú riêng tư.,なし:không có,自宅(じたく):nhà mình|帰宅(きたく):về nhà|住宅(じゅうたく):nhà ở|お宅(おたく):nhà ngài|宅配便(たくはいびん):giao hàng tận nhà
123,客,KHÁCH,キャク,なし,9,宀-miên|各-các,Khách,Mỗi người (各) đến dưới mái nhà (宀).,宀-mien + 各-cac -> (客) khách khứa,Người đến thăm hoặc mua hàng.,なし:không có,お客様(おきゃくさま):khách hàng|乗客(じょうきゃく):hành khách|来客(らいきゃく):khách đến|客間(きゃくま):phòng khách|観客(かんきゃく):khán giả
124,室,THẤT,シツ,むろ,9,宀-miên|至-chí,Phòng,Đi đến (至) dưới mái nhà (宀).,宀-mien + 至-chi -> (室) căn phòng,Không gian bên trong nhà.,なし:không có,教室(きょうしつ):lớp học|図書室(としょしつ):phòng đọc sách|室内(しつない):trong phòng|和室(わしつ):phòng kiểu nhật|地下室(ちかしつ):hầm
125,家,GIA,カ|ケ,いえ|や,10,宀-miên|豕-thỉ,Gia đình,Con lợn (豕) dưới mái nhà (宀).,宀-mien + 豕-thi -> (家) nhà ở,Nơi cả gia đình sinh sống.,なし:không có,家族(かぞく):gia đình|家内(かない):vợ mình|家事(かじ):việc nhà|漫画家(まんがか):họa sĩ truyện tranh|空き家(あきや):nhà bỏ hoang
